Image,Nom,Nom complet,Position,Pied fort,Taille,Poid,Date de naissance,Lieu de naissance,Club
https://fbref.com/req/202005121/images/headshots/fbbc8e15_2018.jpg,Noah Joel Sarenren Bazee,,MF ,Right,183cm,70kg,"    August 21, 1996    ","          in Celle, Germany      ",Augsburg
https://fbref.com/req/202005121/images/headshots/7abfcbff_2018.jpg,Hervé Bazile,,FW-MF (AM-WM) ,85% Left,180cm,74kg,"    March 18, 1990    ","          in Créteil, France      ",
https://fbref.com/req/202005121/images/headshots/da59a197_2018.jpg,Riechedly Bazoer,,DF-MF (CB-CM-DM) ,76% Right,184cm,81kg,"    October 12, 1996    ","          in Gemeente Utrecht, Netherlands      ",Vitesse
https://fbref.com/req/202005121/images/headshots/c91441dc_2018.jpg,Gavin Bazunu,,GK,,189cm,80kg,"    February 20, 2002    ","          in Dublin, Republic of Ireland      ",Portsmouth
https://fbref.com/req/202005121/images/headshots/29dd9279_2018.jpg,Luca Bazzoli,,DF ,Both,188cm,82kg,"    November 1, 2000    ","          in Bad Homburg, Germany      ",Stuttgart
Inconnue,Harry Beadle,Harry Beadle,DF,,,,"    January 7, 2003    ","          in England, United Kingdom      ",Colchester United
Inconnue,Keishon Bean,,FW,,,,"    February 19, 2000    ",,PHC Zebras
Inconnue,Jomei Bean-Lindo,Jomei  Bean-Lindo,MF,,,,"    May 9, 1998    ","          in Hamilton, Bermuda      ",Dandy Town Hornets FC
Inconnue,Sam Beard,,MF,,,,"    March 12, 1998    ","          in England, United Kingdom      ",Barnet
Inconnue,Jack Bearne,,MF,,,,"    September 15, 2001    ","          in Nottingham, England, United Kingdom      ",Liverpool
Inconnue,Tom Bearwish,,FW,,,,"    October 16, 1999    ","          in England, United Kingdom      ",Weymouth
Inconnue,Enrico Bearzotti,,FW,,,,"    October 29, 1996    ",,Catanzaro
Inconnue,Jean-David Beauguel,,FW ,Right,192cm,73kg,"    March 21, 1992    ","          in Strasbourg, France      ",Viktoria Plzeň
https://fbref.com/req/202005121/images/headshots/c8404849_2018.jpg,Jean Beausejour,Jean André Emanuel Beausejour Coliqueo,"DF-FW-MF (FB-WM, left)",,178cm,83kg,"    June 1, 1984    ","          in Santiago, Chile      ",Coquimbo
https://fbref.com/req/202005121/images/headshots/b6623a0a_2018.jpg,Harry Beautyman,,DF-MF (CM) ,Right,178cm,70kg,"    April 1, 1992    ","          in Newham, England, United Kingdom      ",Sutton United
https://fbref.com/req/202005121/images/headshots/d8712bf9_2018.jpg,Bebé,,FW-MF (AM-WM) ,81% Right,190cm,82kg,"    July 12, 1990    ","          in Cacém, Portugal      ",Rayo Vallecano
Inconnue,Bebeto,,"DF (FB, right)",,174cm,72kg,"    January 1, 1990    ","          in Lagarto, Brazil      ",Tondela
Inconnue,Maiko Bebia,,MF,,,,"    May 20, 2003    ",          in Georgia      ,FC Tbilisi Nike
https://fbref.com/req/202005121/images/headshots/a53b661f_2018.jpg,Ihlas Bebou,,FW-MF (AM) ,91% Right,183cm,72kg,"    April 23, 1994    ","          in Sokodé, Togo      ",Hoffenheim
https://fbref.com/req/202005121/images/headshots/19e4eab9_2018.jpg,Rodrigo Becão,,"DF (CB, right) ",91% Right,191cm,79kg,"    January 19, 1996    ","          in Salvador, Brazil      ",Udinese
Inconnue,Chiara Beccari,Chiara  Beccari,FW,,,,"    September 27, 2004    ",,Juventus
Inconnue,Marco Beccaro,,FW,,,,"    November 25, 1989    ",,FC Südtirol
Inconnue,Juan Becerra,Juan Camilo Becerra Maya,FW,,,,"    February 23, 1998    ","          in Valledupar, Colombia      ",Ponferradina
Inconnue,Mads Bech Sørensen,,DF ,Left,193cm,77kg,"    January 7, 1999    ","          in Horsens, Denmark      ",Brentford
Inconnue,Tobias Bech,Tobias Bech Kristensen,FW,,,,"    February 19, 2002    ",,Viborg
Inconnue,Amandine Bèche,,FW,,,,"    November 12, 2001    ","          in Rennes, France      ",Fleury
https://fbref.com/req/202005121/images/headshots/17c2f8f5_2018.jpg,Fatos Bećiraj,Fatos Besim Bećiraj,FW ,Right,188cm,82kg,"    May 5, 1988    ","          in Peć, Kosovo      ",FK Astana
https://fbref.com/req/202005121/images/headshots/616c09f5_2018.jpg,Adrian Beck,,MF,,183cm,,"    June 9, 1997    ",,Ulm
https://fbref.com/req/202005121/images/headshots/00a6485f_2018.jpg,Andreas Beck,,"DF-MF (FB, right) ",80% Right,180cm,74kg,"    March 13, 1987    ","          in Kemerovo, Russia      ",Eupen
https://fbref.com/req/202005121/images/headshots/f5ef4170_2018.jpg,Christian Beck,,FW,,196cm,80kg,"    March 10, 1988    ","          in Kreisfreie Stadt Erfurt, Germany      ",Berliner FC Dynamo
Inconnue,Julius Beck,Julius  Beck,MF,,,,"    April 27, 2005    ",,SønderjyskE
Inconnue,Niklas Beck,Niklas Beck,FW,,,,"    March 25, 2001    ",,USV Eschen/Mauren
Inconnue,Owen Beck,,DF,,,,"    August 9, 2002    ","          in Wales, England, United Kingdom      ",Liverpool
https://fbref.com/req/202005121/images/headshots/aac742bc_2018.jpg,Laurenz Beckemeyer,,GK,,,,"    April 16, 2000    ",,Osnabrück
https://fbref.com/req/202005121/images/headshots/e82dde42_2018.jpg,André Becker,,FW ,Both,196cm,90kg,"    July 26, 1996    ",,Jahn Regensburg
Inconnue,Cederic Becker,Cederic Nils Becker,MF,,,,,,Energie Cottbus
Inconnue,Lennard Becker,,DF,,,,"    December 13, 2005    ",,Dresden
Inconnue,Marlon Becker,Marlon Becker,MF,,,,"    January 31, 2005    ",,Köln
https://fbref.com/req/202005121/images/headshots/66b473fd_2018.jpg,Robin Becker,,DF ,Right,182cm,72kg,"    January 18, 1997    ","          in Solingen, Germany      ",Dresden
https://fbref.com/req/202005121/images/headshots/8eb55dbb_2018.jpg,Sheraldo Becker,,"FW-MF (WM, right) ",84% Right,180cm,75kg,"    February 9, 1995    ","          in Amsterdam, Netherlands      ",Union Berlin
Inconnue,Sören Becker,,DF,,,,"    February 18, 2004    ",,Preußen Münster
https://fbref.com/req/202005121/images/headshots/543ddcaf_2018.jpg,Timo Becker,,DF ,91% Right,186cm,84kg,"    March 25, 1997    ","          in Herten, Germany      ",Schalke 04
Inconnue,Vitalie Becker,Vitalie Becker,DF,,,,"    March 3, 2005    ",,Schalke 04
https://fbref.com/req/202005121/images/headshots/cbeb1bc4_2018.jpg,Yannis Becker,,DF-MF ,Both,180cm,,"    January 12, 1991    ",,FC Viktoria 1889 Berlin
https://fbref.com/req/202005121/images/headshots/43466fe0_2018.jpg,Janine Beckie,,FW-MF ,83% Right,173cm,63kg,"    August 20, 1994    ","          in Littleton, Colorado, United States      ",Manchester City
https://fbref.com/req/202005121/images/headshots/668005c9_2018.jpg,Omar Beckles,,DF (CB-FB) ,Right,191cm,78kg,"    October 25, 1991    ","          in Kettering, England, United Kingdom      ",Leyton Orient
https://fbref.com/req/202005121/images/headshots/be263fe7_2018.jpg,Eunice Beckmann,,FW,,167cm,,"    February 8, 1992    ","          in Wuppertal, Germany      ",Köln
Inconnue,Sam Beckwith,Sam Beckwith,MF,,,,(Date unknown),"          in England, United Kingdom      ",Maidenhead United FC
Inconnue,Quinten Beckx,Quinten-Eladio Beckx,MF,,,,"    March 31, 2003    ",,Roda JC
https://fbref.com/req/202005121/images/headshots/a689a7df_2018.jpg,Jacob Bedeau,,DF (CB) ,Right,172cm,70kg,"    December 24, 1999    ",,Burnley
https://fbref.com/req/202005121/images/headshots/a689a7df_2018.jpg,Jacob Bedeau,,DF (CB) ,Right,172cm,70kg,"    December 24, 1999    ",,Burnley
https://fbref.com/req/202005121/images/headshots/6417ff6c_2018.jpg,Bence Bedi,,DF,,,,"    November 14, 1996    ",          in Hungary      ,Zalaegerszeg
https://fbref.com/req/202005121/images/headshots/ec11ecf8_2018.jpg,Chris Bedia,,FW ,Right,190cm,74kg,"    March 5, 1996    ","          in Abidjan, Côte d'Ivoire      ",Charleroi
https://fbref.com/req/202005121/images/headshots/60291087_2018.jpg,Jovin Bedic,,FW,,172cm,75kg,"    June 8, 1990    ","          in Barotac Nuevo, Philippines      ",Kaya FC
https://fbref.com/req/202005121/images/headshots/93b95f72_2018.jpg,Filip Bednarek,,GK ,85% Right,188cm,81kg,"    September 26, 1992    ","          in Słupca, Poland      ",Lech Poznań
https://fbref.com/req/202005121/images/headshots/4115ce4e_2018.jpg,Jan Bednarek,,DF (CB) ,82% Right,190cm,77kg,"    April 12, 1996    ","          in Słupca, Poland      ",Southampton
Inconnue,Yordy Bedoya,Yordy Andrey Bedoya Quintero,MF,,181cm,,"    July 27, 2001    ","          in Medellín, Colombia      ",Sibenik
https://fbref.com/req/202005121/images/headshots/844c72d5_2018.jpg,Abdelkader Bedrane,,DF,,185cm,82kg,"    April 2, 1992    ","          in Blida, Algeria      ",Espérance de Tunis
https://fbref.com/req/202005121/images/headshots/50dc94ce_2018.jpg,Donny van de Beek,,MF (CM) ,89% Right,181cm,76kg,"    April 18, 1997    ","          in Nijkerkerveen, Netherlands      ",Manchester United
https://fbref.com/req/202005121/images/headshots/49312f11_2018.jpg,Sven van Beek,,DF (CB) ,Right,190cm,76kg,"    July 28, 1994    ","          in Gemeente Gouda, Netherlands      ",Heerenveen
Inconnue,Thomas Beekman,,FW,,,,"    January 23, 2000    ",,NEC
https://fbref.com/req/202005121/images/headshots/8dde7a71_2018.jpg,Timo Beermann,,DF (CB),,185cm,87kg,"    December 10, 1990    ",          in Germany      ,Osnabrück
https://fbref.com/req/202005121/images/headshots/70c3da77_2018.jpg,Martijn Beernaert,Martijn Beernaert,GK,,,,"    October 3, 2002    ",,Zulte Waregem
Inconnue,Jim Beers,Jim Beers,FW,,,,"    May 15, 2000    ",,Volendam
https://fbref.com/req/202005121/images/headshots/71df6e0e_2018.jpg,Jake Beesley,,FW ,Right,180cm,72kg,"    December 2, 1996    ","          in Sheffield, England, United Kingdom      ",Rochdale
https://fbref.com/req/202005121/images/headshots/a02effcc_2018.jpg,Alfie Beestin,,MF,,,,"    October 1, 1997    ","          in Leeds, England, United Kingdom      ",Scunthorpe United
Inconnue,Lucas Beetz,Lucas Beetz,DF,,,,"    September 14, 2005    ",,Nürnberg
https://fbref.com/req/202005121/images/headshots/30bea884_2018.jpg,Mark Beevers,Mark Geoffrey Beevers,DF (CB) ,Right,193cm,80kg,"    November 21, 1989    ","          in Barnsley, England, United Kingdom      ",Peterborough United
Inconnue,Leorat Bega,Leorat Bega,MF,,193cm,,"    July 18, 2003    ","          in Geneva, Switzerland      ",Freiburg
Inconnue,Răzvan Began,Răzvan Cătălin Began,GK,,192cm,,"    August 12, 1996    ",          in Romania      ,Sepsi Sfântu Gheorghe
Inconnue,Andrea Beghetto,,DF-MF ,87% Left,,,"    October 11, 1994    ","          in Perugia, Italy      ",US Alessandria Calcio 1912
https://fbref.com/req/202005121/images/headshots/bef20b01_2018.jpg,Silvije Begić,,DF ,Right,197cm,87kg,"    June 3, 1993    ","          in Imotski, Croatia      ",Krylia Sovetov Samara
https://fbref.com/req/202005121/images/headshots/4b69739f_2018.jpg,Arsen Beglaryan,Arsen Abrahami Beglaryan,GK ,Right,187cm,80kg,"    February 18, 1993    ","          in Krasnodarskiy Kray, Russia      ",FC Banants
Inconnue,Lavdije Begolli,,MF,,,,"    January 19, 1993    ",,
Inconnue,Nedim Begovac,Nedim Begovac,FW,,,,,,Preußen Münster
https://fbref.com/req/202005121/images/headshots/7b4de647_2018.jpg,Asmir Begović,,GK ,86% Right,199cm,83kg,"    June 20, 1987    ","          in Trebinje, Bosnia and Herzegovina      ",Everton
https://fbref.com/req/202005121/images/headshots/5e6355f8_2018.jpg,Yanis Begraoui,,FW,,175cm,62kg,"    July 4, 2001    ","          in Étampes, France      ",Toulouse
https://fbref.com/req/202005121/images/headshots/5bf11f0f_2018.jpg,Roman Begunov,,DF,,181cm,77kg,"    March 22, 1993    ","          in Minsk City, Belarus      ",Shakhter Soligorsk
https://fbref.com/req/202005121/images/headshots/b6867b96_2018.jpg,Aziz Behich,Aziz Eraltay Behich,"DF-MF (FB-WM, left) ",Left,172cm,66kg,"    December 16, 1990    ","          in Moonee Ponds, Australia      ",Giresunspor
https://fbref.com/req/202005121/images/headshots/316c28b7_2018.jpg,Jonas Behounek,,DF ,Right,,,"    May 15, 1998    ",,FC Eintracht Norderstedt 03
https://fbref.com/req/202005121/images/headshots/7ab66f2d_2018.jpg,Raffael Behounek,,DF ,Right,187cm,80kg,"    April 16, 1997    ","          in Vienna, Austria      ",WSG Wattens
Inconnue,Lavdije Behramaj,,GK,,,,"    May 1, 1999    ","          in Kosovo, Kosovo      ",Vllaznia Shkodër
https://fbref.com/req/202005121/images/headshots/d3d758d8_2018.jpg,Valon Behrami,,DF-MF (CM) ,89% Right,184cm,78kg,"    April 19, 1985    ","          in Kosovska Mitrovica, Kosovo      ",Genoa
https://fbref.com/req/202005121/images/headshots/b1a21aca_2018.jpg,Brian Behrendt,,DF-MF (CB) ,Right,187cm,80kg,"    October 24, 1991    ","          in Bremervörde, Germany      ",Eintracht Braunschweig
Inconnue,Hannes Behrens,,DF,,,,,,Hoffenheim
https://fbref.com/req/202005121/images/headshots/77b41ac0_2018.jpg,Hanno Behrens,,MF (AM-CM-DM) ,78% Right,187cm,79kg,"    March 26, 1990    ","          in Elmshorn, Germany      ",Hansa Rostock
https://fbref.com/req/202005121/images/headshots/30ae134d_2018.jpg,Kevin Behrens,,FW ,Right,184cm,,"    February 3, 1991    ","          in Bremen, Germany      ",Union Berlin
https://fbref.com/req/202005121/images/headshots/9c273730_2018.jpg,Morten Behrens,Morten Jens Behrens,GK ,Right,193cm,90kg,"    April 1, 1997    ","          in Bad Segeberg, Germany      ",Darmstadt 98
Inconnue,Mohamedhen Beibou,Mohamedhen Beibou,DF,,175cm,59kg,"    December 5, 1995    ",,FC Nouadhibou
https://fbref.com/req/202005121/images/headshots/5db45ee5_2018.jpg,Maximilian Beier,,FW ,Both,183cm,71kg,"    October 17, 2002    ","          in Brandenburg, Germany      ",Hannover 96
Inconnue,Nicholas Beier,,MF,,,,"    February 13, 2003    ",,Darmstadt 98
https://fbref.com/req/202005121/images/headshots/9954717e_2018.jpg,Marcel Beifus,,DF ,Right,189cm,84kg,"    October 27, 2002    ",,St. Pauli
https://fbref.com/req/202005121/images/headshots/71115017_2018.jpg,Felix Beijmo,,"DF (FB, right)",,185cm,77kg,"    January 31, 1998    ","          in Stockholm, Sweden      ",Malmö
https://fbref.com/req/202005121/images/headshots/5470b208_2018.jpg,Mike van Beijnen,Mike Johannes Hendrikus Josephus van Beijnen,DF ,Right,187cm,78kg,"    March 7, 1999    ","          in Breda, Netherlands      ",Den Bosch
https://fbref.com/req/202005121/images/headshots/6ca0b04a_2018.jpg,Alireza Beiranvand,Alireza Safar Beiranvand,GK ,Right,192cm,85kg,"    September 21, 1992    ","          in Khorramabad, Iran      ",Boavista
https://fbref.com/req/202005121/images/headshots/beb6c168_2018.jpg,Abzal Beisebekov,,"DF-MF (FB, right) ",Right,185cm,81kg,"    November 30, 1992    ","          in Almaty, Kazakhstan      ",FK Astana
https://fbref.com/req/202005121/images/headshots/25df5f56_2018.jpg,Maximilian Beister,,FW-MF (AM-WM) ,Left,180cm,80kg,"    September 6, 1990    ","          in Göttingen, Germany      ",Ingolstadt 04
Inconnue,Danny Bejarano,Danny Bryan Bejarano Yañez,MF (DM),,181cm,74kg,"    January 3, 1994    ","          in Santa Cruz de la Sierra, Bolivia      ",PAS Lamia
https://fbref.com/req/202005121/images/headshots/dc1d7cc9_2018.jpg,Diego Bejarano,Diego Bejarano Ibáñez,"DF-MF (FB, right) ",Right,174cm,70kg,"    August 24, 1991    ","          in Santa Cruz de la Sierra, Bolivia      ",Bolívar
https://fbref.com/req/202005121/images/headshots/dc1d7cc9_2018.jpg,Diego Bejarano,Diego Bejarano Ibáñez,"DF-MF (FB, right) ",Right,174cm,70kg,"    August 24, 1991    ","          in Santa Cruz de la Sierra, Bolivia      ",Bolívar
https://fbref.com/req/202005121/images/headshots/3756dda9_2018.jpg,Esad Bejic,Esad Bejic,DF ,Right,180cm,70kg,"    March 3, 2001    ",,Austria Wien
Inconnue,Markela Bejleri,,MF,,,,"    May 28, 2001    ",,
https://fbref.com/req/202005121/images/headshots/7300a331_2018.jpg,Egzon Bejtulai,,DF,,182cm,79kg,"    January 7, 1994    ","          in Tetovo, North Macedonia      ",FK Shkëndija
Inconnue,Alexis Beka Beka,,MF,,,,"    March 29, 2001    ",,Lokomotiv Moscow
Inconnue,Visar Bekaj,,GK,,190cm,,"    May 24, 1997    ","          in Pristina, Kosovo      ",KF Tirana
Inconnue,Burak Bekaroğlu,Burak Bekaroğlu,DF,,,,"    April 16, 1997    ","          in Sakarya, Turkey      ",Fatih Karagümrük SK
https://fbref.com/req/202005121/images/headshots/d77fa75c_2018.jpg,Péter Beke,,FW,,181cm,,"    March 14, 2001    ",,Zalaegerszeg
https://fbref.com/req/202005121/images/headshots/39efcf4c_2018.jpg,Shimelis Bekele,,FW-MF (AM),,179cm,63kg,"    January 2, 1990    ","          in Awasa, Ethiopia      ",El Gouna
https://fbref.com/req/202005121/images/headshots/6233f5f9_2018.jpg,Efkan Bekiroglu,,MF ,Right,188cm,79kg,"    September 14, 1995    ","          in Dachau, Germany      ",Alanyaspor
https://fbref.com/req/202005121/images/headshots/1ee6da56_2018.jpg,Jan Bekkema,,GK ,Right,186cm,70kg,"    April 9, 1996    ","          in Drachten, Netherlands      ",Heerenveen
https://fbref.com/req/202005121/images/headshots/1619cb4c_2018.jpg,Bohdan Bekliak,Bohdan Bekliak,DF,,185cm,79kg,"    August 31, 1999    ",          in Ukraine      ,FK Mynai
https://fbref.com/req/202005121/images/headshots/a9906c31_2018.jpg,Xurşed Beknazarov,Xurşed Sajdamirovič Beknazarov,DF,,,,"    June 26, 1994    ",,Rahmatganj MFS
https://fbref.com/req/202005121/images/headshots/66aa277d_2018.jpg,Mirza Beknazarow,Mirza Ikramowiç Beknazarow,MF,,,,"    May 15, 2000    ","          in Daşoguz, Turkmenistan      ",FC Ahal
Inconnue,Tokzhan Bekpenbetova,,FW,,,,"    May 18, 1994    ","          in Kazakhstan, Kazakhstan      ",Okzhetpes
Inconnue,Sumeja Bektaš,,MF,,,,"    November 12, 1993    ",          in Bosnia and Herzegovina      ,SFK 2000
https://fbref.com/req/202005121/images/headshots/6b42981c_2018.jpg,Iliass Bel Hassani,,FW-MF (AM-CM) ,Left,173cm,72kg,"    September 16, 1992    ","          in Rotterdam, Netherlands      ",RKC Waalwijk
Inconnue,Mathijs Bel,,MF,,,,"    January 30, 2001    ",,NAC Breda
https://fbref.com/req/202005121/images/headshots/5680bf3f_2018.jpg,Jérémie Bela,,FW-MF ,Right,173cm,70kg,"    April 8, 1993    ","          in Melun, France      ",Birmingham City
https://fbref.com/req/202005121/images/headshots/1a248246_2018.jpg,Youcef Belaïli,Mohamed Youcef Belaïli,FW ,Right,178cm,75kg,"    March 14, 1992    ","          in Oran, Algeria      ",Qatar SC
https://fbref.com/req/202005121/images/headshots/f22296c7_2018.jpg,Nemanja Belaković,,MF,,173cm,59kg,"    January 8, 1997    ","          in Kraljevo, Serbia      ",Hartberg
https://fbref.com/req/202005121/images/headshots/4f8ce0e1_2018.jpg,Vid Belec,,GK ,91% Right,192cm,88kg,"    June 6, 1990    ","          in Maribor, Slovenia      ",Salernitana
Inconnue,Jannette van Belen,,FW,,,,"    May 28, 1998    ",,ADO Den Haag
https://fbref.com/req/202005121/images/headshots/a7060d47_2018.jpg,Aleksandr Belenov,Aleksandr Vasilyevich Belenov,GK ,Right,195cm,91kg,"    September 13, 1986    ","          in Belgorod, Russia      ",Ufa
Inconnue,Christos Belevonis,,FW,,,,"    July 29, 2002    ",,Panetolikos
Inconnue,Stathis Belevonis,,MF,,,,"    February 6, 1998    ",,Panetolikos
https://fbref.com/req/202005121/images/headshots/ff182fdc_2018.jpg,Ishak Belfodil,,FW-MF ,90% Right,192cm,88kg,"    January 12, 1992    ","          in Mostaganem, Algeria      ",Hertha BSC
https://fbref.com/req/202005121/images/headshots/0b034186_2018.jpg,Jason Belfon,,GK,,183cm,69kg,"    July 3, 1990    ","          in Grenville, Grenada      ",Paradise FC International
https://fbref.com/req/202005121/images/headshots/0abcb968_2018.jpg,Rafik Belghali,Rafik Belghali,DF,,,,"    June 7, 2002    ",,Lommel
Inconnue,Mohamed Belhadj Mahmoud,Mohamed Belhadj Mahmoud,DF,,,,"    April 24, 2000    ",,Lugano
Inconnue,Erwan Belhadji,Erwan Belhadji,FW ,Right,187cm,75kg,"    June 22, 2001    ",,Dijon
https://fbref.com/req/202005121/images/headshots/e204ec12_2018.jpg,Younès Belhanda,,FW-MF (AM) ,90% Right,177cm,75kg,"    February 25, 1990    ","          in Avignon, France      ",Adana Demirspor
https://fbref.com/req/202005121/images/headshots/e771b117_2018.jpg,Nemanja Belić,,GK ,Right,188cm,83kg,"    April 24, 1987    ","          in Belgrade, Serbia      ",Čukarički
https://fbref.com/req/202005121/images/headshots/c9b519e2_2018.jpg,Rubén Belima,Rubén Belima Rodríguez,"FW-MF (WM, left)",,182cm,71kg,"    February 11, 1992    ","          in Madrid, Spain      ",Hércules
https://fbref.com/req/202005121/images/headshots/1760fd52_2018.jpg,Jeff Beljour,,MF,,167cm,66kg,"    April 4, 1998    ",,
https://fbref.com/req/202005121/images/headshots/7776a35b_2018.jpg,Semi Belkahia,,DF,,186cm,,"    December 22, 1998    ",,1860 Munich
https://fbref.com/req/202005121/images/headshots/2b1bed19_2018.jpg,Haris Belkebla,,MF (CM-DM) ,86% Right,177cm,68kg,"    January 28, 1994    ","          in La Courneuve, France      ",Brest
Inconnue,Sami Belkorchia,,DF ,Left,180cm,69kg,"    January 25, 1995    ","          in Saint-Étienne, France      ",US Quevilly
https://fbref.com/req/202005121/images/headshots/1c51e689_2018.jpg,Leon Bell Bell,,DF ,Left,176cm,73kg,"    September 6, 1996    ","          in Hanau, Germany      ",Magdeburg
https://fbref.com/req/202005121/images/headshots/399e9474_2018.jpg,Amari'i Bell,,"DF-MF (FB, left) ",Right,180cm,72kg,"    May 5, 1994    ","          in Burton-on-Trent, England, United Kingdom      ",Luton Town
https://fbref.com/req/202005121/images/headshots/42b2aa85_2018.jpg,Detre Bell,,GK,,179cm,70kg,"    August 3, 1996    ","          in Hamilton, Bermuda      ",
Inconnue,Finn Bell,Finn Bell,MF,,,,(Date unknown),"          in England, United Kingdom      ",Forest Green Rovers
Inconnue,Lewis Bell,,MF,,,,"    September 29, 2002    ","          in England, United Kingdom      ",Carlisle United
Inconnue,Megan Bell,,MF,,,,"    April 17, 2001    ","          in Northern Ireland, United Kingdom      ",
Inconnue,Sam Bell,Sam Bell,FW ,Right,,,"    May 23, 2002    ","          in England, United Kingdom      ",Bristol City
https://fbref.com/req/202005121/images/headshots/857a5abe_2018.jpg,Stefan Bell,,DF (CB) ,85% Right,192cm,86kg,"    August 24, 1991    ","          in Andernach, Germany      ",Mainz 05
Inconnue,Steven Bell,,DF-MF,,185cm,73kg,"    February 24, 1985    ","          in Scotland, United Kingdom      ",Partick Thistle
https://fbref.com/req/202005121/images/headshots/a39d11bc_2018.jpg,Armel Bella Kotchap,,DF (CB) ,Right,190cm,87kg,"    December 11, 2001    ","          in Paris, France      ",Bochum
Inconnue,Giosue Bellagambi,Giosue Bellagambi,GK,,,,"    November 8, 2001    ","          in London, England, United Kingdom      ",Huddersfield Town
Inconnue,Elias Bellahsen,Elias Bellahsen,DF,,,,"    June 6, 2005    ",,SG Unterrath U17
https://fbref.com/req/202005121/images/headshots/e3756e72_2018.jpg,Raoul Bellanova,,MF ,Right,185cm,83kg,"    June 17, 2000    ","          in Rho, Italy      ",Cagliari
https://fbref.com/req/202005121/images/headshots/bee0bab1_2018.jpg,Karim Bellarabi,,"FW-MF (AM-WM, right) ",93% Right,183cm,76kg,"    April 8, 1990    ","          in Land Berlin, Germany      ",Leverkusen
https://fbref.com/req/202005121/images/headshots/10f0fdd3_2018.jpg,Jean-Ricner Bellegarde,,MF ,78% Right,170cm,68kg,"    June 27, 1998    ","          in Colombes, France      ",Strasbourg
Inconnue,Alessandro Bellemo,,MF,,,,"    August 7, 1995    ",          in Italy      ,Como
https://fbref.com/req/202005121/images/headshots/f874dd44_2018.jpg,Héctor Bellerín,Héctor Bellerín Moruno,"DF-MF (FB, right) ",90% Right,177cm,74kg,"    March 19, 1995    ","          in Barcelona, Spain      ",Real Betis
Inconnue,Jobe Bellingham,Jobe Bellingham,FW,,,,"    September 23, 2005    ","          in England, United Kingdom      ",Birmingham City
https://fbref.com/req/202005121/images/headshots/57d88cf9_2018.jpg,Jude Bellingham,"
  Twitter:
  
@BellinghamJude",MF ,86% Right,180cm,75kg,"    June 29, 2003    ","          in England, United Kingdom      ",Dortmund
Inconnue,Paul Bellmann,Paul Bellmann,MF,,,,"    March 4, 2005    ",,Werder Bremen
Inconnue,Eduard Bello,Eduard Alexander Bello Gil,MF (AM) ,Right,177cm,69kg,"    August 20, 1995    ","          in Cúa, Venezuela      ",Antofagasta
https://fbref.com/req/202005121/images/headshots/aca0a525_2018.jpg,George Bello,George Oluwaseun Bello,DF-MF ,86% Left,170cm,66kg,"    January 22, 2002    ","          in Abuja, Nigeria      ",Atlanta United
Inconnue,Nicola Bellomo,,MF (AM),,174cm,70kg,"    February 18, 1991    ","          in Bari, Italy      ",Reggina
Inconnue,Inès Belloumou,,DF,,,,"    June 21, 2001    ","          in Martigues, France      ",Montpellier
Inconnue,Melissa Bellucci,,MF,,,,"    February 8, 2001    ",,Empoli FC
Inconnue,Giuseppe Bellusci,,DF (CB) ,Right,185cm,74kg,"    August 21, 1989    ","          in Trebisacce, Italy      ",AC Monza Brianza 1912
https://fbref.com/req/202005121/images/headshots/fbe35ca3_2018.jpg,Carlos Bellvís,Carlos Bellvís Llorens,"DF (FB, left)",,169cm,68kg,"    April 24, 1985    ","          in Valencia, Spain      ",Alcorcón
https://fbref.com/req/202005121/images/headshots/a25e9c54_2018.jpg,Kharlton Belmar,,FW-MF,,180cm,72kg,"    December 1, 1992    ","          in Virginia Beach, Virginia, United States      ",Sacramento Republic
https://fbref.com/req/202005121/images/headshots/1d5013e2_2018.jpg,Anthony Belmonte,,MF (DM) ,Right,185cm,71kg,"    October 16, 1995    ","          in Istres, France      ",Grenoble
https://fbref.com/req/202005121/images/headshots/29885888_2018.jpg,Osvaldo Belo,Osvaldo Lucas Baptista Belo,MF,,,,"    October 18, 2000    ",,
https://fbref.com/req/202005121/images/headshots/d705ba44_2018.jpg,Andrea Belotti,,FW ,80% Right,181cm,72kg,"    December 20, 1993    ","          in Calcinate, Italy      ",Torino
Inconnue,Alexandr Belousov,,MF,,,,"    May 14, 1998    ",,Sheriff Tiraspol
Inconnue,James Belshaw,,GK,,191cm,,"    October 12, 1990    ","          in Nottingham, England, United Kingdom      ",Bristol Rovers
Inconnue,Stefano Beltrame,,FW-MF ,Right,183cm,73kg,"    February 8, 1993    ","          in Biella, Italy      ",Marítimo
https://fbref.com/req/202005121/images/headshots/90070ab6_2018.jpg,Fernando Beltrán,,MF,,164cm,66kg,"    May 8, 1998    ",,Guadalajara
https://fbref.com/req/202005121/images/headshots/ed5c5fa3_2018.jpg,Fran Beltrán,,MF ,89% Right,172cm,69kg,"    February 3, 1999    ","          in Madrid, Spain      ",Celta Vigo
https://fbref.com/req/202005121/images/headshots/ba9da7e3_2018.jpg,Claudiu Belu-Iordache,,"DF (FB, right) ",Right,183cm,73kg,"    November 7, 1993    ","          in Timișoara, Romania      ",Rapid București
Inconnue,Sandor Belvari,Sandor Belvari,FW,,,,"    March 29, 2003    ",,FC Astoria Walldorf
